RUN_ID;RUN_NAME;CONFIG_ID;CONFIG_POS
1;100003.Rdata;21;1
1;100003.Rdata;27;2
1;100003.Rdata;17;3
1;100003.Rdata;23;4
1;100003.Rdata;31;5
1;100003.Rdata;50;6
1;100003.Rdata;60;7
1;100003.Rdata;75;8
1;100003.Rdata;81;9
1;100003.Rdata;83;10
1;100003.Rdata;108;11
1;100003.Rdata;92;12
1;100003.Rdata;109;13
1;100003.Rdata;101;14
1;100003.Rdata;129;15
1;100003.Rdata;114;16
1;100003.Rdata;132;17
1;100003.Rdata;130;18
1;100003.Rdata;115;19
1;100003.Rdata;151;20
1;100003.Rdata;153;21
1;100003.Rdata;147;22
1;100003.Rdata;167;23
2;1000193.Rdata;1;24
2;1000193.Rdata;31;25
2;1000193.Rdata;23;26
2;1000193.Rdata;7;27
2;1000193.Rdata;12;28
2;1000193.Rdata;39;29
2;1000193.Rdata;37;30
2;1000193.Rdata;84;31
2;1000193.Rdata;67;32
2;1000193.Rdata;68;33
2;1000193.Rdata;60;34
2;1000193.Rdata;97;35
2;1000193.Rdata;110;36
2;1000193.Rdata;101;37
2;1000193.Rdata;111;38
2;1000193.Rdata;124;39
2;1000193.Rdata;131;40
2;1000193.Rdata;123;41
2;1000193.Rdata;163;42
2;1000193.Rdata;143;43
2;1000193.Rdata;147;44
3;1100211.Rdata;31;45
3;1100211.Rdata;12;46
3;1100211.Rdata;1;47
3;1100211.Rdata;16;48
3;1100211.Rdata;17;49
3;1100211.Rdata;38;50
3;1100211.Rdata;41;51
3;1100211.Rdata;76;52
3;1100211.Rdata;105;53
3;1100211.Rdata;96;54
3;1100211.Rdata;97;55
3;1100211.Rdata;136;56
3;1100211.Rdata;135;57
3;1100211.Rdata;122;58
3;1100211.Rdata;133;59
3;1100211.Rdata;156;60
3;1100211.Rdata;149;61
4;1200239.Rdata;19;62
4;1200239.Rdata;12;63
4;1200239.Rdata;29;64
4;1200239.Rdata;11;65
4;1200239.Rdata;20;66
4;1200239.Rdata;35;67
4;1200239.Rdata;52;68
4;1200239.Rdata;49;69
4;1200239.Rdata;43;70
4;1200239.Rdata;78;71
4;1200239.Rdata;74;72
4;1200239.Rdata;81;73
4;1200239.Rdata;88;74
4;1200239.Rdata;98;75
4;1200239.Rdata;103;76
4;1200239.Rdata;129;77
4;1200239.Rdata;123;78
4;1200239.Rdata;119;79
4;1200239.Rdata;163;80
4;1200239.Rdata;150;81
4;1200239.Rdata;154;82
4;1200239.Rdata;146;83
5;1300277.Rdata;25;84
5;1300277.Rdata;12;85
5;1300277.Rdata;9;86
5;1300277.Rdata;20;87
5;1300277.Rdata;23;88
5;1300277.Rdata;35;89
5;1300277.Rdata;52;90
5;1300277.Rdata;33;91
5;1300277.Rdata;43;92
5;1300277.Rdata;80;93
5;1300277.Rdata;75;94
5;1300277.Rdata;62;95
5;1300277.Rdata;69;96
5;1300277.Rdata;86;97
5;1300277.Rdata;88;98
5;1300277.Rdata;101;99
5;1300277.Rdata;108;100
5;1300277.Rdata;118;101
5;1300277.Rdata;128;102
5;1300277.Rdata;151;103
5;1300277.Rdata;161;104
5;1300277.Rdata;163;105
5;1300277.Rdata;146;106
6;1400299.Rdata;28;107
6;1400299.Rdata;7;108
6;1400299.Rdata;13;109
6;1400299.Rdata;22;110
6;1400299.Rdata;30;111
6;1400299.Rdata;47;112
6;1400299.Rdata;38;113
6;1400299.Rdata;50;114
6;1400299.Rdata;33;115
6;1400299.Rdata;78;116
6;1400299.Rdata;74;117
6;1400299.Rdata;71;118
6;1400299.Rdata;64;119
6;1400299.Rdata;72;120
6;1400299.Rdata;100;121
6;1400299.Rdata;108;122
6;1400299.Rdata;138;123
6;1400299.Rdata;119;124
6;1400299.Rdata;118;125
6;1400299.Rdata;124;126
6;1400299.Rdata;141;127
6;1400299.Rdata;149;128
6;1400299.Rdata;143;129
6;1400299.Rdata;144;130
6;1400299.Rdata;164;131
7;1500311.Rdata;31;132
7;1500311.Rdata;25;133
7;1500311.Rdata;29;134
7;1500311.Rdata;3;135
7;1500311.Rdata;12;136
7;1500311.Rdata;38;137
7;1500311.Rdata;59;138
7;1500311.Rdata;40;139
7;1500311.Rdata;73;140
7;1500311.Rdata;61;141
7;1500311.Rdata;86;142
7;1500311.Rdata;96;143
7;1500311.Rdata;97;144
7;1500311.Rdata;95;145
7;1500311.Rdata;103;146
7;1500311.Rdata;127;147
7;1500311.Rdata;134;148
7;1500311.Rdata;118;149
7;1500311.Rdata;160;150
7;1500311.Rdata;159;151
7;1500311.Rdata;152;152
8;1600333.Rdata;25;153
8;1600333.Rdata;17;154
8;1600333.Rdata;19;155
8;1600333.Rdata;12;156
8;1600333.Rdata;20;157
8;1600333.Rdata;56;158
8;1600333.Rdata;47;159
8;1600333.Rdata;44;160
8;1600333.Rdata;65;161
8;1600333.Rdata;66;162
8;1600333.Rdata;75;163
8;1600333.Rdata;77;164
8;1600333.Rdata;107;165
8;1600333.Rdata;112;166
8;1600333.Rdata;111;167
8;1600333.Rdata;102;168
8;1600333.Rdata;123;169
8;1600333.Rdata;125;170
8;1600333.Rdata;139;171
8;1600333.Rdata;163;172
8;1600333.Rdata;167;173
8;1600333.Rdata;147;174
9;1700359.Rdata;5;175
9;1700359.Rdata;10;176
9;1700359.Rdata;29;177
9;1700359.Rdata;21;178
9;1700359.Rdata;20;179
9;1700359.Rdata;49;180
9;1700359.Rdata;50;181
9;1700359.Rdata;40;182
9;1700359.Rdata;55;183
9;1700359.Rdata;77;184
9;1700359.Rdata;85;185
9;1700359.Rdata;112;186
9;1700359.Rdata;87;187
9;1700359.Rdata;129;188
9;1700359.Rdata;126;189
9;1700359.Rdata;149;190
10;1800371.Rdata;18;191
10;1800371.Rdata;25;192
10;1800371.Rdata;10;193
10;1800371.Rdata;6;194
10;1800371.Rdata;32;195
10;1800371.Rdata;43;196
10;1800371.Rdata;44;197
10;1800371.Rdata;55;198
10;1800371.Rdata;81;199
10;1800371.Rdata;80;200
10;1800371.Rdata;77;201
10;1800371.Rdata;93;202
10;1800371.Rdata;96;203
10;1800371.Rdata;107;204
10;1800371.Rdata;110;205
10;1800371.Rdata;113;206
10;1800371.Rdata;135;207
10;1800371.Rdata;121;208
10;1800371.Rdata;162;209
10;1800371.Rdata;159;210
10;1800371.Rdata;150;211
10;1800371.Rdata;153;212
10;1800371.Rdata;163;213
11;1900393.Rdata;12;214
11;1900393.Rdata;30;215
11;1900393.Rdata;19;216
11;1900393.Rdata;31;217
11;1900393.Rdata;11;218
11;1900393.Rdata;34;219
11;1900393.Rdata;49;220
11;1900393.Rdata;42;221
11;1900393.Rdata;82;222
11;1900393.Rdata;81;223
11;1900393.Rdata;94;224
11;1900393.Rdata;100;225
11;1900393.Rdata;93;226
11;1900393.Rdata;119;227
11;1900393.Rdata;136;228
11;1900393.Rdata;130;229
11;1900393.Rdata;137;230
11;1900393.Rdata;145;231
11;1900393.Rdata;155;232
11;1900393.Rdata;162;233
11;1900393.Rdata;148;234
12;200009.Rdata;26;235
12;200009.Rdata;12;236
12;200009.Rdata;30;237
12;200009.Rdata;32;238
12;200009.Rdata;29;239
12;200009.Rdata;43;240
12;200009.Rdata;44;241
12;200009.Rdata;41;242
12;200009.Rdata;56;243
12;200009.Rdata;65;244
12;200009.Rdata;63;245
12;200009.Rdata;84;246
12;200009.Rdata;60;247
12;200009.Rdata;112;248
12;200009.Rdata;97;249
12;200009.Rdata;107;250
12;200009.Rdata;91;251
12;200009.Rdata;100;252
12;200009.Rdata;139;253
12;200009.Rdata;130;254
12;200009.Rdata;117;255
12;200009.Rdata;122;256
12;200009.Rdata;141;257
12;200009.Rdata;159;258
12;200009.Rdata;148;259
13;2000419.Rdata;29;260
13;2000419.Rdata;23;261
13;2000419.Rdata;28;262
13;2000419.Rdata;14;263
13;2000419.Rdata;18;264
13;2000419.Rdata;46;265
13;2000419.Rdata;35;266
13;2000419.Rdata;48;267
13;2000419.Rdata;52;268
13;2000419.Rdata;84;269
13;2000419.Rdata;86;270
13;2000419.Rdata;62;271
13;2000419.Rdata;112;272
13;2000419.Rdata;109;273
13;2000419.Rdata;113;274
13;2000419.Rdata;136;275
13;2000419.Rdata;116;276
13;2000419.Rdata;123;277
13;2000419.Rdata;162;278
13;2000419.Rdata;150;279
14;300017.Rdata;1;280
14;300017.Rdata;18;281
14;300017.Rdata;23;282
14;300017.Rdata;32;283
14;300017.Rdata;6;284
14;300017.Rdata;39;285
14;300017.Rdata;56;286
14;300017.Rdata;38;287
14;300017.Rdata;80;288
14;300017.Rdata;65;289
14;300017.Rdata;62;290
14;300017.Rdata;63;291
14;300017.Rdata;101;292
14;300017.Rdata;111;293
14;300017.Rdata;108;294
14;300017.Rdata;135;295
14;300017.Rdata;127;296
14;300017.Rdata;137;297
14;300017.Rdata;130;298
14;300017.Rdata;123;299
14;300017.Rdata;148;300
14;300017.Rdata;142;301
14;300017.Rdata;154;302
15;400031.Rdata;2;303
15;400031.Rdata;6;304
15;400031.Rdata;24;305
15;400031.Rdata;3;306
15;400031.Rdata;16;307
15;400031.Rdata;43;308
15;400031.Rdata;54;309
15;400031.Rdata;65;310
15;400031.Rdata;74;311
15;400031.Rdata;84;312
15;400031.Rdata;90;313
15;400031.Rdata;97;314
15;400031.Rdata;102;315
15;400031.Rdata;129;316
15;400031.Rdata;131;317
15;400031.Rdata;117;318
15;400031.Rdata;121;319
15;400031.Rdata;143;320
15;400031.Rdata;164;321
15;400031.Rdata;192;322
15;400031.Rdata;184;323
15;400031.Rdata;176;324
16;500057.Rdata;23;325
16;500057.Rdata;15;326
16;500057.Rdata;16;327
16;500057.Rdata;6;328
16;500057.Rdata;14;329
16;500057.Rdata;38;330
16;500057.Rdata;42;331
16;500057.Rdata;84;332
16;500057.Rdata;61;333
16;500057.Rdata;75;334
16;500057.Rdata;62;335
16;500057.Rdata;99;336
16;500057.Rdata;100;337
16;500057.Rdata;111;338
16;500057.Rdata;127;339
16;500057.Rdata;132;340
16;500057.Rdata;148;341
16;500057.Rdata;155;342
16;500057.Rdata;158;343
16;500057.Rdata;184;344
16;500057.Rdata;168;345
16;500057.Rdata;188;346
17;600083.Rdata;25;347
17;600083.Rdata;20;348
17;600083.Rdata;17;349
17;600083.Rdata;22;350
17;600083.Rdata;13;351
17;600083.Rdata;59;352
17;600083.Rdata;33;353
17;600083.Rdata;63;354
17;600083.Rdata;65;355
17;600083.Rdata;64;356
17;600083.Rdata;89;357
17;600083.Rdata;91;358
17;600083.Rdata;102;359
17;600083.Rdata;106;360
17;600083.Rdata;134;361
17;600083.Rdata;129;362
17;600083.Rdata;125;363
17;600083.Rdata;114;364
17;600083.Rdata;163;365
17;600083.Rdata;157;366
17;600083.Rdata;141;367
17;600083.Rdata;143;368
18;700099.Rdata;32;369
18;700099.Rdata;6;370
18;700099.Rdata;20;371
18;700099.Rdata;5;372
18;700099.Rdata;24;373
18;700099.Rdata;47;374
18;700099.Rdata;52;375
18;700099.Rdata;57;376
18;700099.Rdata;68;377
18;700099.Rdata;63;378
18;700099.Rdata;74;379
18;700099.Rdata;76;380
18;700099.Rdata;111;381
18;700099.Rdata;97;382
18;700099.Rdata;127;383
18;700099.Rdata;134;384
18;700099.Rdata;136;385
18;700099.Rdata;129;386
18;700099.Rdata;151;387
18;700099.Rdata;147;388
18;700099.Rdata;156;389
19;800123.Rdata;1;390
19;800123.Rdata;22;391
19;800123.Rdata;25;392
19;800123.Rdata;5;393
19;800123.Rdata;6;394
19;800123.Rdata;42;395
19;800123.Rdata;70;396
19;800123.Rdata;60;397
19;800123.Rdata;77;398
19;800123.Rdata;75;399
19;800123.Rdata;76;400
19;800123.Rdata;104;401
19;800123.Rdata;112;402
19;800123.Rdata;94;403
19;800123.Rdata;137;404
19;800123.Rdata;125;405
19;800123.Rdata;118;406
19;800123.Rdata;119;407
19;800123.Rdata;166;408
19;800123.Rdata;154;409
19;800123.Rdata;155;410
20;900149.Rdata;8;411
20;900149.Rdata;1;412
20;900149.Rdata;26;413
20;900149.Rdata;17;414
20;900149.Rdata;20;415
20;900149.Rdata;35;416
20;900149.Rdata;59;417
20;900149.Rdata;49;418
20;900149.Rdata;75;419
20;900149.Rdata;62;420
20;900149.Rdata;74;421
20;900149.Rdata;108;422
20;900149.Rdata;94;423
20;900149.Rdata;106;424
20;900149.Rdata;131;425
20;900149.Rdata;140;426
20;900149.Rdata;165;427
20;900149.Rdata;162;428
20;900149.Rdata;192;429
20;900149.Rdata;169;430
20;900149.Rdata;178;431
20;900149.Rdata;183;432
