network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.27809524;100;415;0;415;100;193;122;315;131;49;135;NA;0.759036144578313;0.759036144578313;NA;0;0;0;0;0;0;NA;NA;NA;0;1;0.240963855421687;0.465060240963855;0.293975903614458;0.415873015873016;0.155555555555556;0.428571428571429
BH-L1;min;20;0.27809524;99;413;0;413;100;192;121;314;130;48;136;NA;0.760290556900726;0.760290556900726;NA;0;0;0;0;0;0;NA;NA;NA;0;1;0.242130750605327;0.464891041162228;0.292978208232446;0.414012738853503;0.152866242038217;0.43312101910828
BH-L2;min;20;0.27809524;92;389;0;389;100;183;106;298;131;36;131;NA;0.766066838046273;0.766066838046273;NA;0;0;0;0;0;0;NA;NA;NA;0;1;0.25706940874036;0.470437017994859;0.272493573264781;0.439597315436242;0.120805369127517;0.439597315436242
BH-L3;min;20;0.27809524;72;309;0;309;99;137;73;262;129;12;121;NA;0.84789644012945;0.84789644012945;NA;0;0;0;0;0;0;NA;NA;NA;0;1;0.320388349514563;0.44336569579288;0.236245954692557;0.49236641221374;0.0458015267175573;0.461832061068702
BH-L4;min;20;0.27809524;57;258;0;258;95;97;66;258;123;10;125;NA;1;1;NA;0;0;0;0;0;0;NA;NA;NA;0;1;0.368217054263566;0.375968992248062;0.255813953488372;0.476744186046512;0.0387596899224806;0.484496124031008
BH-L5;min;20;0.27809524;53;214;0;214;96;75;43;218;107;3;108;NA;1.01869158878505;1.01869158878505;NA;0;0;0;0;0;0;NA;NA;NA;0;1;0.448598130841121;0.350467289719626;0.200934579439252;0.490825688073394;0.0137614678899083;0.495412844036697
BH-65-L0;min;20;0.251;100;454;0;454;100;186;168;354;190;1;163;NA;0.779735682819383;0.779735682819383;1;1;0;0.05;0;0;0;NA;NA;0.00220264317180617;0;1;0.220264317180617;0.409691629955947;0.370044052863436;0.536723163841808;0.00282485875706215;0.46045197740113
BH-65-L1;min;20;0.251;100;454;0;454;100;186;168;354;190;1;163;NA;0.779735682819383;0.779735682819383;1;1;0;0.05;0;0;0;NA;NA;0.00220264317180617;0;1;0.220264317180617;0.409691629955947;0.370044052863436;0.536723163841808;0.00282485875706215;0.46045197740113
BH-65-L2;min;20;0.251;93;422;0;422;100;180;142;334;176;1;157;NA;0.791469194312796;0.791469194312796;1;1;0;0.05;0;0;0;NA;NA;0.0023696682464455;0;1;0.23696682464455;0.42654028436019;0.336492890995261;0.526946107784431;0.0029940119760479;0.470059880239521
BH-65-L3;min;20;0.251;76;335;0;335;99;143;93;295;158;0;137;NA;0.880597014925373;0.880597014925373;1;1;0;0.05;0;0;0;NA;NA;0.00298507462686567;0;1;0.295522388059701;0.426865671641791;0.277611940298507;0.535593220338983;0;0.464406779661017
BH-65-L4;min;20;0.251;72;285;0;285;97;120;68;266;142;0;124;NA;0.933333333333333;0.933333333333333;1;1;0;0.05;0;0;0;NA;NA;0.00350877192982456;0;1;0.340350877192982;0.421052631578947;0.23859649122807;0.533834586466165;0;0.466165413533835
BH-65-L5;min;20;0.251;64;243;0;243;98;88;57;243;117;2;124;NA;1;1;1;2;2;0.25;0;0;0;NA;NA;0.00411522633744856;0;1;0.403292181069959;0.362139917695473;0.234567901234568;0.481481481481481;0.00823045267489712;0.510288065843621
BL-L0;min;20;0.28;100;385;0;385;100;152;133;285;136;0;149;NA;0.74025974025974;0.74025974025974;1;1;0;0.1;0;0;0;NA;NA;0.0025974025974026;0;1;0.25974025974026;0.394805194805195;0.345454545454545;0.47719298245614;0;0.52280701754386
BL-L1;min;20;0.28;100;384;0;384;100;152;132;284;136;0;148;NA;0.739583333333333;0.739583333333333;1;1;0;0.1;0;0;0;NA;NA;0.00260416666666667;0;1;0.260416666666667;0.395833333333333;0.34375;0.47887323943662;0;0.52112676056338
BL-L2;min;20;0.28;94;370;0;370;100;146;124;279;130;0;149;NA;0.754054054054054;0.754054054054054;1;2;1;0.2;0;0;0;NA;NA;0.0027027027027027;0;1;0.27027027027027;0.394594594594595;0.335135135135135;0.46594982078853;0;0.53405017921147
BL-L3;min;20;0.28;89;334;0;334;100;131;103;256;117;1;138;NA;0.766467065868264;0.766467065868264;1;2;0;0.3;0;0;0;NA;NA;0.0029940119760479;0;1;0.29940119760479;0.392215568862275;0.308383233532934;0.45703125;0.00390625;0.5390625
BL-L4;min;20;0.28;78;300;0;300;100;113;87;251;119;0;132;NA;0.836666666666667;0.836666666666667;1;3;2;0.4;0;0;0;NA;NA;0.00333333333333333;0;1;0.333333333333333;0.376666666666667;0.29;0.474103585657371;0;0.525896414342629
BL-L5;min;20;0.28;69;258;0;258;97;91;70;224;104;1;119;NA;0.868217054263566;0.868217054263566;1;4;5;0.5;0;0;0;NA;NA;0.00387596899224806;0;1;0.375968992248062;0.352713178294574;0.271317829457364;0.464285714285714;0.00446428571428571;0.53125
BL-32-L0;min;20;0.29809524;100;432;0;432;100;167;165;332;163;1;168;NA;0.768518518518518;0.768518518518518;1;1;1;0.1;0;0;0;NA;NA;0.00231481481481481;0;1;0.231481481481481;0.386574074074074;0.381944444444444;0.490963855421687;0.00301204819277108;0.506024096385542
BL-32-L1;min;20;0.29809524;100;431;0;431;100;167;164;331;162;1;168;NA;0.767981438515081;0.767981438515081;1;1;1;0.1;0;0;0;NA;NA;0.00232018561484919;0;1;0.232018561484919;0.387470997679814;0.380510440835267;0.489425981873112;0.00302114803625378;0.507552870090634
BL-32-L2;min;20;0.29809524;98;416;0;416;100;166;150;319;158;1;160;NA;0.766826923076923;0.766826923076923;1;1;1;0.1;0;0;0;NA;NA;0.00240384615384615;0;1;0.240384615384615;0.399038461538462;0.360576923076923;0.495297805642633;0.00313479623824451;0.501567398119122
BL-32-L3;min;20;0.29809524;89;371;0;371;100;153;118;294;149;0;145;NA;0.792452830188679;0.792452830188679;1;1;1;0.1;0;0;0;NA;NA;0.00269541778975741;0;1;0.269541778975741;0.412398921832884;0.318059299191375;0.506802721088435;0;0.493197278911565
