CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
25;TRUE;FALSE;171;4;0;NA;NA;1.46;1.68;0.65;25;25
34;TRUE;FALSE;125;4;1;NA;NA;2.36;2.43;0.78;34;34
41;TRUE;FALSE;162;4;2;NA;NA;1.27;2.27;0.72;41;41
53;TRUE;FALSE;56;4;1;NA;NA;1.97;0.47;0.69;53;53
56;TRUE;FALSE;19;4;2;NA;NA;1.82;0.32;0.75;56;56
102;TRUE;FALSE;164;4;0;NA;NA;1.28;2.14;0.59;102;102
103;TRUE;FALSE;162;4;2;NA;NA;1.45;2.33;0.85;103;103
117;TRUE;FALSE;175;4;2;NA;NA;2.03;1.82;0.58;117;117
123;TRUE;FALSE;189;4;0;NA;NA;1.4;2.11;0.33;123;123
125;TRUE;FALSE;168;4;2;NA;NA;0.87;2;0.66;125;125
146;TRUE;FALSE;67;4;1;NA;NA;2;0.92;0.54;146;146
154;TRUE;FALSE;102;1;1;NA;NA;2.43;1.85;0.73;154;154
159;TRUE;FALSE;153;4;2;NA;NA;1.42;2.42;0.71;159;159
166;TRUE;FALSE;174;4;2;NA;NA;1.23;2.24;0.65;166;166
167;TRUE;FALSE;81;4;0;NA;NA;2.26;1.86;0.74;167;167
178;TRUE;FALSE;189;4;0;NA;NA;1.59;2.11;0.44;178;178
196;TRUE;FALSE;191;4;0;NA;NA;1.48;2.41;0.62;196;196
200;TRUE;FALSE;180;4;0;NA;NA;1.68;2.3;0.5;200;200
209;TRUE;FALSE;151;4;0;NA;NA;1.22;2.4;0.67;209;209
214;TRUE;FALSE;174;4;2;NA;NA;1.32;2.47;0.78;214;214
236;TRUE;TRUE;75;4;0;NA;NA;2.17;2.11;0.61;236;236
239;TRUE;FALSE;174;4;0;NA;NA;1.29;2.39;0.59;239;239
243;TRUE;FALSE;171;4;0;NA;NA;1.24;2.39;0.61;243;243
244;TRUE;FALSE;180;4;0;NA;NA;1.69;2.5;0.49;244;244
245;TRUE;FALSE;49;4;0;NA;NA;2.14;2.06;0.64;245;245
