CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;ras;0;0.75;1.99;0.29;86;NA;65;NA;NA;NA
2;FALSE;as;2;3.25;6.99;0.78;38;NA;NA;NA;15;0
3;FALSE;acs;3;4.5;9.49;0.04;62;0.26;NA;NA;49;1
4;FALSE;eas;1;2;4.49;0.54;14;NA;NA;243;26;0
5;FALSE;acs;1;2.62;8.24;0.17;98;0.88;NA;NA;9;0
6;FALSE;mmas;3;0.12;3.24;0.66;50;NA;NA;NA;32;1
7;FALSE;as;0;3.87;5.74;0.91;26;NA;NA;NA;NA;NA
8;FALSE;eas;2;1.37;0.74;0.41;74;NA;NA;149;21;0
9;FALSE;acs;0;2.31;6.37;0.72;68;0.57;NA;NA;NA;NA
10;FALSE;mmas;2;4.81;1.37;0.23;20;NA;NA;NA;41;0
11;FALSE;ras;3;3.56;3.87;0.97;92;NA;96;NA;6;1
12;FALSE;as;1;1.06;8.87;0.47;44;NA;NA;NA;29;0
13;FALSE;eas;1;4.19;2.62;0.85;56;NA;NA;290;46;0
14;FALSE;as;3;1.69;7.62;0.35;8;NA;NA;NA;23;1
15;FALSE;mmas;0;2.94;0.12;0.1;32;NA;NA;NA;NA;NA
16;FALSE;ras;2;0.44;5.12;0.6;80;NA;8;NA;35;0
17;FALSE;as;3;4.34;1.06;0.51;65;NA;NA;NA;8;0
18;FALSE;ras;1;1.84;6.06;0.01;17;NA;49;NA;31;1
19;FALSE;eas;0;0.59;8.56;0.75;89;NA;NA;126;NA;NA
20;FALSE;acs;2;3.09;3.56;0.26;41;0.79;NA;NA;42;1
21;FALSE;ras;0;4.97;4.81;0.38;5;NA;61;NA;NA;NA
22;FALSE;mmas;2;2.47;9.81;0.88;53;NA;NA;NA;36;1
23;FALSE;as;1;3.72;2.31;0.63;77;NA;NA;NA;48;1
24;FALSE;eas;3;1.22;7.31;0.13;29;NA;NA;220;25;0
25;FALSE;as;2;0.91;4.18;0.07;95;NA;NA;NA;16;1
26;FALSE;ras;0;3.41;9.18;0.57;47;NA;55;NA;NA;NA
27;TRUE;acs;3;2.16;1.68;0.82;23;0.73;NA;NA;28;0
28;FALSE;mmas;1;4.66;6.68;0.32;71;NA;NA;NA;5;1
29;FALSE;ras;2;4.03;7.93;0.69;11;NA;18;NA;10;1
30;FALSE;mmas;0;1.53;2.93;0.2;59;NA;NA;NA;NA;NA
31;FALSE;eas;3;2.78;5.43;0.44;83;NA;NA;360;45;0
32;FALSE;acs;1;0.28;0.43;0.94;35;0.1;NA;NA;22;1
33;FALSE;eas;0;1.92;8.09;0.99;43;NA;NA;466;NA;NA
34;FALSE;as;2;4.42;3.09;0.49;91;NA;NA;NA;23;1
35;FALSE;acs;3;3.17;0.59;0.74;19;0.99;NA;NA;34;0
