CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
6;TRUE;FALSE;102;4;2;NA;NA;1.25;0.81;0.84;6;6
14;TRUE;FALSE;64;1;1;NA;NA;1.41;1.9;0.45;14;14
15;TRUE;FALSE;164;4;2;NA;NA;0.16;0.65;0.9;15;15
16;TRUE;FALSE;71;4;1;NA;NA;0.7;1.51;0.87;16;16
23;TRUE;FALSE;133;4;0;NA;NA;2.11;1.67;0.7;23;23
38;TRUE;FALSE;87;4;0;NA;NA;2.02;1.92;0.81;38;38
42;TRUE;FALSE;43;1;0;NA;NA;1.83;1.42;0.88;42;42
61;TRUE;FALSE;123;4;2;NA;NA;2;2.06;0.81;61;61
62;TRUE;FALSE;137;4;0;NA;NA;2.16;1.77;0.73;62;62
75;TRUE;FALSE;84;4;2;NA;NA;1.76;2.18;0.72;75;75
84;TRUE;FALSE;151;4;0;NA;NA;2;1.57;0.65;84;84
99;TRUE;TRUE;90;4;0;NA;NA;1.66;2.3;0.57;99;99
100;TRUE;FALSE;125;4;2;NA;NA;2.22;2.46;0.78;100;100
111;TRUE;FALSE;134;4;0;NA;NA;1.97;1.85;0.75;111;111
127;TRUE;FALSE;87;4;0;NA;NA;1.42;2.01;0.55;127;127
132;TRUE;FALSE;109;4;0;NA;NA;1.7;2.48;0.62;132;132
148;TRUE;FALSE;89;4;0;NA;NA;1.66;2.08;0.57;148;148
155;TRUE;FALSE;115;4;0;NA;NA;1.81;2.29;0.57;155;155
158;TRUE;FALSE;78;4;0;NA;NA;1.79;2.27;0.54;158;158
168;TRUE;FALSE;83;4;0;NA;NA;1.67;2.26;0.6;168;168
184;TRUE;FALSE;92;4;0;NA;NA;1.49;2.19;0.53;184;184
188;TRUE;FALSE;74;4;0;NA;NA;1.81;2.2;0.58;188;188
