CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
23;TRUE;FALSE;acs;3;4.72;0.07;0.13;55;0.03;NA;NA;12;0;23;23
39;TRUE;FALSE;as;3;2.77;0.85;0.14;6;NA;NA;NA;33;0;39;39
62;TRUE;FALSE;acs;3;3.55;9.91;0.67;27;0.73;NA;NA;26;1;62;62
73;TRUE;FALSE;mmas;3;1.95;5.93;0.48;25;NA;NA;NA;49;0;73;73
80;TRUE;FALSE;eas;3;2.57;2.18;0.85;85;NA;NA;51;31;0;80;80
129;TRUE;FALSE;ras;3;4.02;0.38;0.4;81;NA;7;NA;30;0;129;129
143;TRUE;FALSE;acs;3;2.92;6.36;0.96;17;0.21;NA;NA;29;0;143;143
170;TRUE;FALSE;acs;3;3.24;4.98;0.52;47;0.31;NA;NA;30;1;170;170
183;TRUE;FALSE;acs;3;3.95;7.98;0.88;11;0.05;NA;NA;18;0;183;183
200;TRUE;FALSE;acs;3;2.47;6.6;0.77;35;0.28;NA;NA;31;0;200;200
207;TRUE;FALSE;acs;3;3.65;6.26;0.1;36;0;NA;NA;30;1;207;207
236;TRUE;FALSE;acs;3;3.9;4.72;0.64;70;0.41;NA;NA;30;0;236;236
267;TRUE;FALSE;acs;3;2.48;5.39;0.61;48;0.51;NA;NA;28;0;267;267
298;TRUE;FALSE;acs;3;3.98;6.36;0.77;68;0.19;NA;NA;38;0;298;298
302;TRUE;FALSE;acs;3;3.03;3.73;0.56;58;0.47;NA;NA;29;0;302;302
307;TRUE;FALSE;acs;3;2.47;3.41;0.44;54;0.36;NA;NA;18;0;307;307
322;TRUE;FALSE;acs;3;3.62;4.66;0.66;67;0.24;NA;NA;17;0;322;322
353;TRUE;FALSE;acs;3;3.65;5.45;0.57;64;0.35;NA;NA;15;0;353;353
358;TRUE;FALSE;acs;3;3.3;3.07;0.56;65;0.33;NA;NA;12;0;358;358
363;TRUE;FALSE;acs;3;3.47;3.31;0.75;66;0.35;NA;NA;17;0;363;363
441;TRUE;FALSE;acs;3;4.02;5.49;0.52;64;0.36;NA;NA;11;0;441;441
472;TRUE;FALSE;acs;3;3.26;3.56;0.73;65;0.46;NA;NA;18;0;472;472
481;TRUE;FALSE;acs;3;3.68;5.88;0.44;62;0.24;NA;NA;16;0;481;481
486;TRUE;FALSE;acs;3;2.66;2.74;0.65;58;0.32;NA;NA;14;0;486;486
585;TRUE;FALSE;acs;3;3.59;5.27;0.52;63;0.32;NA;NA;15;0;585;585
591;TRUE;FALSE;acs;3;3.73;5.46;0.43;60;0.21;NA;NA;16;0;591;591
600;TRUE;FALSE;acs;3;3.88;5.86;0.52;66;0.42;NA;NA;9;0;600;600
620;TRUE;TRUE;acs;3;4.14;5.18;0.48;68;0.39;NA;NA;10;0;620;620
659;TRUE;FALSE;acs;3;3.42;5.45;0.58;61;0.37;NA;NA;15;0;659;659
661;TRUE;FALSE;acs;3;3.46;5.21;0.53;66;0.42;NA;NA;14;0;661;661
