RUN_ID;CONFIG_ID;MNRG
100003;898;0.30211856348742
1000193;917;0.294192510239906
1100211;942;0.240867832065535
1200239;957;0.282679929783499
1300277;988;0.30444558221182
1400299;1008;0.342515725570509
1500311;1032;0.364831407255705
1600333;1057;0.464449605032183
1700359;1073;0.469848595669982
1800371;1099;0.355316339964892
1900393;1120;0.330431904622586
200009;1131;0.32378181685196
2000419;1158;0.257335430076068
300017;1178;0.407814877121123
500057;1214;0.313327603861908
600083;1233;0.278308221181978
700099;1264;0.307394309537741
800123;1291;0.282866076653013
900149;1310;0.291086161497952
