RUN_ID;CONFIG_ID;MNRG
100003;1;0.547286392405063
1000193;2;0.410712025316456
1100211;3;0.447428797468354
1200239;4;0.651313291139241
1300277;5;0.469462025316456
1400299;6;0.404034810126582
1500311;7;0.657784810126582
1600333;8;0.56123417721519
1700359;9;0.451629746835443
1800371;10;0.650680379746835
1900393;11;0.404723101265823
200009;12;0.570696202531646
2000419;13;0.469161392405063
300017;14;0.434960443037975
400031;15;0.443631329113924
500057;16;0.545925632911392
600083;17;0.601787974683544
700099;18;0.439485759493671
800123;19;0.362412974683544
900149;20;0.390759493670886
