RUN_ID;CONFIG_ID;MNRG
100003;61;0.683219936708861
1000193;62;0.48753164556962
1100211;63;0.468354430379747
1200239;64;0.529897151898734
1300277;65;0.538971518987342
1400299;66;0.606439873417722
1500311;67;0.743354430379747
1600333;68;0.732254746835443
1700359;69;0.463655063291139
1800371;70;0.491882911392405
1900393;71;0.437294303797468
200009;72;0.455988924050633
2000419;73;0.692911392405063
300017;74;0.581969936708861
400031;75;0.59379746835443
500057;76;0.541962025316456
600083;77;0.625949367088608
700099;78;0.452381329113924
800123;79;0.481526898734177
900149;80;0.423465189873418
