RUN_ID;CONFIG_ID;MNRG
100003;41;0.578987341772152
1000193;42;0.485110759493671
1100211;43;0.531329113924051
1200239;44;0.534066455696203
1300277;45;0.485443037974684
1400299;46;0.5125
1500311;47;0.545569620253165
1600333;48;0.633615506329114
1700359;49;0.631439873417722
1800371;50;0.588655063291139
1900393;51;0.403987341772152
200009;52;0.554778481012658
2000419;53;0.551186708860759
300017;54;0.594556962025316
400031;55;0.624232594936709
500057;56;0.603908227848101
600083;57;0.340696202531646
700099;58;0.470791139240506
800123;59;0.53121835443038
900149;60;0.474825949367089
