CONFIG_ID;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;MNRG
858;acs;3;3.25;5.38;0.44;64;0.86;NA;NA;11;1;0.274111322410767
859;acs;3;2.85;4.52;0.43;62;0.78;NA;NA;19;1;0.336485883557636
86;acs;3;1.94;0.79;0.7;49;0.62;NA;NA;21;1;0.508301638385021
860;acs;3;3.82;6.49;0.65;69;0.82;NA;NA;15;1;0.28535656816852
861;acs;3;4.25;6.49;0.19;28;0.35;NA;NA;14;0;0.741840988882387
862;acs;3;2.79;6.59;0.35;56;0.76;NA;NA;23;1;0.452387361029842
863;acs;3;2.2;4.89;0.91;56;0.67;NA;NA;19;1;0.371728349912229
864;acs;3;3.49;6.1;0.19;58;0.68;NA;NA;10;1;0.320485298420129
865;acs;3;2.51;8.02;0.6;53;0.76;NA;NA;18;1;0.351173200702165
866;acs;3;3.77;7.53;0.09;46;0.62;NA;NA;10;1;0.288304929783499
867;acs;3;3.81;7.39;0.47;62;0.63;NA;NA;16;1;0.294410108250439
868;acs;3;1.37;4.08;0.8;43;0.55;NA;NA;12;1;0.347708089526039
869;acs;3;3.2;7.13;0.4;57;0.61;NA;NA;11;1;0.245081919251024
87;acs;3;3.57;2.44;0.81;66;0.17;NA;NA;13;1;0.318915301345816
870;acs;3;4.32;7.44;0.37;63;0.72;NA;NA;10;1;0.267928613224108
871;acs;3;2.93;7.24;0.32;53;0.73;NA;NA;15;1;0.285860517846694
872;acs;3;3.67;6.08;0.24;58;0.58;NA;NA;9;1;0.273853861907548
873;acs;3;4.3;6.63;0.46;66;0.62;NA;NA;16;1;0.305115930368637
874;acs;3;3.51;6.86;0.42;62;0.51;NA;NA;19;1;0.389410108250439
875;acs;3;3.67;7.79;0.52;62;0.61;NA;NA;18;1;0.339408279695729
876;acs;3;3.6;6.73;0.17;51;0.56;NA;NA;11;1;0.252285693387946
877;acs;3;4.8;6.07;0.53;70;0.64;NA;NA;16;1;0.291078481568169
878;acs;3;4.12;6.78;0.49;63;0.62;NA;NA;16;1;0.313235810415448
879;acs;2;3.31;6.64;0.9;59;0.62;NA;NA;22;1;0.930512726740784
88;acs;3;2.73;2.29;0.61;64;0.77;NA;NA;15;1;0.308285912814511
880;ras;3;3.19;2.03;0.41;27;NA;7;NA;49;1;0.787551930953774
881;ras;3;2.9;1.51;0.62;52;NA;24;NA;30;1;0.630364613809245
882;acs;3;2.3;2.29;0.2;34;0.49;NA;NA;18;0;0.565456041544763
883;ras;3;4.55;6.88;0.58;45;NA;12;NA;38;0;0.65422322995904
884;ras;3;2.22;1.24;0.56;77;NA;23;NA;21;1;0.664275892334699
885;mmas;3;3.97;3.08;0.18;39;NA;NA;NA;10;1;0.761147235225278
886;ras;3;2.35;0.85;0.55;55;NA;20;NA;26;1;0.527301418958455
887;acs;3;2.7;4.56;0.37;21;0.64;NA;NA;16;0;0.694845669982446
888;ras;3;4.47;7.8;0.77;63;NA;9;NA;32;0;0.637526331187829
889;acs;3;3.85;2.28;0.05;40;0.97;NA;NA;17;1;0.693670275014628
89;acs;3;3.46;1.49;0.71;65;0.45;NA;NA;16;1;0.343893358689292
890;ras;3;2.15;0.88;0.69;78;NA;18;NA;30;1;0.67446862200117
891;acs;3;3.37;1.72;0.05;39;0.83;NA;NA;19;1;0.368375146284377
892;acs;3;3.81;0.72;0.17;59;0.95;NA;NA;24;1;0.502629827384435
893;acs;3;3.46;0.21;0.07;40;0.81;NA;NA;21;1;0.420967305441779
894;acs;3;3.38;4.19;0.08;48;0.9;NA;NA;7;1;0.431054710356934
895;acs;3;3.5;3.8;0.11;55;0.67;NA;NA;14;1;0.428617246928028
896;acs;3;4.5;0.87;0.12;54;0.72;NA;NA;21;1;0.524454724985372
