RUN_ID;CONFIG_ID;MNRG
100003;25;0.292123317729666
1000193;49;0.278719645991808
1100211;75;0.307977252779403
1200239;95;0.269953920421299
1300277;115;0.29810378876536
1400299;141;0.431520991808075
1500311;165;0.294048785839672
1600333;181;0.259623683440609
1700359;213;0.263643578115857
1800371;232;0.28495062902282
1900393;260;0.3019280280866
200009;277;0.368973815096548
2000419;300;0.314409011117613
300017;330;0.283439877121123
400031;353;0.274064511410181
500057;377;0.315631948507899
600083;392;0.299843841427736
700099;417;0.286166617905208
800123;435;0.278256655939146
