RUN_ID;PATH;ITERATION_1;CONFIG_ID_1;SOLUTION_1;QUALITY_1;CONFIG_COUNT_1;ELITE_COUNT_1;REGULAR_COUNT_1;START_COUNT_1;STANDARD_COUNT_1;END_COUNT_1;ELITE_START_COUNT_1;ELITE_STANDARD_COUNT_1;ELITE_END_COUNT_1;REGULAR_START_COUNT_1;REGULAR_STANDARD_COUNT_1;REGULAR_END_COUNT_1;ITERATION_2;CONFIG_ID_2;SOLUTION_2;QUALITY_2;CONFIG_COUNT_2;ELITE_COUNT_2;REGULAR_COUNT_2;START_COUNT_2;STANDARD_COUNT_2;END_COUNT_2;ELITE_START_COUNT_2;ELITE_STANDARD_COUNT_2;ELITE_END_COUNT_2;REGULAR_START_COUNT_2;REGULAR_STANDARD_COUNT_2;REGULAR_END_COUNT_2
1;FALSE;1;24;04701XXXX13504500;0.64725449;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;24;04701XXXX13504500;0.64725449;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;25;09202XXXX00009000;0.75314879;1;0;1;1;0;0;0;0;0;3;0;0;1;25;09202XXXX00009000;0.75314879;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;26;00230XXXX09018045;0.63364133;1;0;1;1;0;0;0;0;0;3;0;0;1;26;00230XXXX09018045;0.63364133;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;1;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0
1;FALSE;1;28;04721XXXX18000045;0.53676646;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;28;04721XXXX18000045;0.53676646;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;29;18221XXXX00000045;0.67597217;1;0;1;1;0;0;0;0;0;3;0;0;1;29;18221XXXX00000045;0.67597217;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;30;00210XXXX22504500;0.58338373;1;0;1;1;0;0;0;0;0;3;0;0;1;30;00210XXXX22504500;0.58338373;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;31;13742XXXX09018045;0.41673342;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;1;31;13742XXXX09018045;0.41673342;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0
1;FALSE;1;32;04731XXXX18009045;0.54594504;1;0;1;1;0;0;0;0;0;3;0;0;1;32;04731XXXX18009045;0.54594504;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;33;00251XX0213513545;0.57682926;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;33;00251XX0213513545;0.57682926;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;34;09210XXXX00000000;0.83500737;1;0;1;1;0;0;0;0;0;3;0;0;1;34;09210XXXX00000000;0.83500737;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;35;13722XXXX04504545;0.80990157;1;0;1;1;0;0;0;0;0;3;0;0;1;35;13722XXXX04504545;0.80990157;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;36;04750XX0218018000;0.48535545;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;36;04750XX0218018000;0.48535545;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;37;00202XXXX22500000;0.72394414;1;0;1;1;0;0;0;0;0;3;0;0;1;37;00202XXXX22500000;0.72394414;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;38;09241XXXX09009045;0.64677643;1;0;1;0.5;0;0.5;0;0;0;1.5;0;1.5;1;38;09241XXXX09009045;0.64677643;1;0;1;0.5;0;0.5;0;0;0;1.5;0;1.5
1;FALSE;1;39;18240XXXX00013545;0.52912694;1;0;1;1;0;0;0;0;0;3;0;0;1;39;18240XXXX00013545;0.52912694;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;40;04712XXXX13500000;0.62450907;1;0;1;1;0;0;0;0;0;3;0;0;1;40;04712XXXX13500000;0.62450907;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;41;13722XXXX04504545;0.80990157;1;0;1;1;0;0;0;0;0;3;0;0;1;41;13722XXXX04504545;0.80990157;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;42;0026104XX18018000;0.89456231;1;0;1;1;0;0;0;0;0;3;0;0;1;42;0026104XX18018000;0.89456231;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;43;09251XX0200022500;0.72114835;1;0;1;1;0;0;0;0;0;3;0;0;1;43;09251XX0200022500;0.72114835;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;44;00210XXXX13509045;0.41046699;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;1;44;00210XXXX13509045;0.41046699;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0
1;FALSE;1;45;04732XXXX22513545;0.52739463;1;0;1;1;0;0;0;0;0;3;0;0;1;45;04732XXXX22513545;0.52739463;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;46;13700XXXX09004500;0.40978696;1;0;1;1;0;0;0;0;0;3;0;0;1;46;13700XXXX09004500;0.40978696;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;47;09201XXXX13518000;0.66381618;1;0;1;1;0;0;0;0;0;3;0;0;1;47;09201XXXX13518000;0.66381618;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;48;00240XXXX04509045;0.4005977;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;1;48;00240XXXX04509045;0.4005977;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0
1;FALSE;1;49;04722XXXX09013545;0.76934725;1;0;1;1;0;0;0;0;0;3;0;0;1;49;04722XXXX09013545;0.76934725;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;50;1826004XX22500000;0.77907346;1;0;1;1;0;0;0;0;0;3;0;0;1;50;1826004XX22500000;0.77907346;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;51;00211XXXX04522500;0.50411302;1;0;1;1;0;0;0;0;0;3;0;0;1;51;00211XXXX04522500;0.50411302;1;0;1;1;0;0;0;0;0;3;0;0
