CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
25;TRUE;FALSE;76;5;0;NA;7;1.93;1.36;0.74;25;25
31;TRUE;FALSE;73;0;0;NA;NA;2.21;0.31;0.86;31;31
37;TRUE;FALSE;98;4;0;NA;NA;1.27;1.87;0.3;37;37
45;TRUE;FALSE;185;5;0;NA;5;0.49;2.34;0.47;45;45
62;TRUE;FALSE;164;4;2;NA;NA;2.5;2.44;0.84;62;62
77;TRUE;FALSE;174;4;0;NA;NA;0.69;2.47;0.29;77;77
103;TRUE;FALSE;167;1;0;NA;NA;1.44;2.37;0.7;103;103
108;TRUE;FALSE;180;4;2;NA;NA;1.49;2.02;0.87;108;108
122;TRUE;FALSE;151;4;0;NA;NA;1.85;1.7;0.7;122;122
127;TRUE;FALSE;169;4;0;NA;NA;0.6;2.43;0.39;127;127
132;TRUE;FALSE;178;4;0;NA;NA;2.17;2.45;0.8;132;132
139;TRUE;FALSE;176;4;2;NA;NA;1.23;2.14;0.86;139;139
164;TRUE;FALSE;121;4;0;NA;NA;1.94;1.85;0.77;164;164
166;TRUE;FALSE;131;4;0;NA;NA;1.42;1.73;0.7;166;166
179;TRUE;FALSE;175;4;0;NA;NA;2.37;2.36;0.65;179;179
190;TRUE;FALSE;123;4;0;NA;NA;2.44;1.98;0.78;190;190
205;TRUE;TRUE;115;4;0;NA;NA;2.26;2.13;0.74;205;205
217;TRUE;FALSE;106;4;0;NA;NA;2.4;2.32;0.75;217;217
219;TRUE;FALSE;117;4;0;NA;NA;2.25;2.11;0.75;219;219
220;TRUE;FALSE;118;4;0;NA;NA;1.45;2;0.66;220;220
227;TRUE;FALSE;151;4;0;NA;NA;2.13;2.47;0.7;227;227
