CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
11;TRUE;FALSE;36;1;2;NA;NA;1.49;1.09;0.7;11;11
12;TRUE;FALSE;135;4;0;NA;NA;0.24;2.34;0.25;12;12
19;TRUE;FALSE;67;1;0;NA;NA;0.63;1.33;0.84;19;19
20;TRUE;FALSE;142;5;0;NA;2;2.19;1.01;0.51;20;20
29;TRUE;FALSE;5;0;1;NA;NA;0.47;1.48;0.79;29;29
35;TRUE;FALSE;200;5;0;NA;10;1.17;2.18;0.45;35;35
43;TRUE;FALSE;114;4;2;NA;NA;0.86;1.93;0.57;43;43
49;TRUE;FALSE;154;4;2;NA;NA;0.88;2.04;0.75;49;49
52;TRUE;FALSE;97;1;0;NA;NA;0.72;1.69;0.46;52;52
74;TRUE;FALSE;183;1;0;NA;NA;0.85;2.09;0.47;74;74
78;TRUE;FALSE;164;4;0;NA;NA;0.15;2.25;0.48;78;78
81;TRUE;FALSE;107;4;0;NA;NA;0.24;2.3;0.11;81;81
88;TRUE;FALSE;161;5;0;NA;10;0.72;2.37;0.53;88;88
98;TRUE;FALSE;109;4;0;NA;NA;0.44;2.26;0.18;98;98
103;TRUE;FALSE;109;4;0;NA;NA;0.34;2.14;0.25;103;103
119;TRUE;FALSE;109;4;0;NA;NA;0.66;2.09;0.42;119;119
123;TRUE;FALSE;131;4;0;NA;NA;0.29;2.1;0.24;123;123
129;TRUE;FALSE;117;4;0;NA;NA;0.25;2.11;0.27;129;129
146;TRUE;FALSE;117;4;0;NA;NA;0.46;2.32;0.23;146;146
150;TRUE;FALSE;119;4;0;NA;NA;0.18;2.13;0.3;150;150
154;TRUE;FALSE;101;4;0;NA;NA;0.42;2.33;0.18;154;154
163;TRUE;FALSE;107;4;0;NA;NA;0.3;2.33;0.2;163;163
174;TRUE;TRUE;90;4;0;NA;NA;0.31;2.31;0.15;174;174
176;TRUE;FALSE;108;4;0;NA;NA;0.62;2.42;0.18;176;176
178;TRUE;FALSE;100;4;0;NA;NA;0.51;2.32;0.16;178;178
186;TRUE;FALSE;117;4;0;NA;NA;0.43;2.33;0.21;186;186
190;TRUE;FALSE;140;4;0;NA;NA;0.56;2.28;0.16;190;190
