CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;as;2;4.99;9.5;0.39;67;NA;NA;NA;39;1
2;FALSE;FALSE;eas;0;2.49;4.5;0.89;19;NA;NA;321;NA;NA
3;FALSE;FALSE;mmas;1;1.24;2;0.15;91;NA;NA;NA;50;1
4;FALSE;FALSE;ras;3;3.74;7;0.64;43;NA;55;NA;27;0
5;FALSE;FALSE;acs;1;4.36;5.75;0.52;7;0.21;NA;NA;33;1
6;FALSE;FALSE;eas;3;1.86;0.75;0.02;55;NA;NA;39;10;0
7;FALSE;FALSE;as;0;3.11;8.25;0.27;79;NA;NA;NA;NA;NA
8;FALSE;FALSE;ras;2;0.61;3.25;0.77;31;NA;43;NA;45;1
9;FALSE;FALSE;eas;0;4.05;2.63;0.7;73;NA;NA;274;NA;NA
10;FALSE;FALSE;acs;2;1.55;7.63;0.21;25;0.89;NA;NA;13;1
11;FALSE;FALSE;mmas;3;0.3;5.13;0.95;97;NA;NA;NA;47;0
12;FALSE;FALSE;ras;1;2.8;0.13;0.46;49;NA;24;NA;24;1
13;FALSE;FALSE;acs;0;0.93;8.88;0.09;37;0.27;NA;NA;NA;NA
14;FALSE;FALSE;mmas;2;3.43;3.88;0.58;85;NA;NA;NA;19;1
15;FALSE;FALSE;ras;3;4.68;1.38;0.33;13;NA;61;NA;30;0
16;FALSE;FALSE;as;1;2.18;6.38;0.83;61;NA;NA;NA;7;1
17;FALSE;FALSE;ras;1;1.71;2.94;0.36;70;NA;2;NA;46;0
18;FALSE;FALSE;mmas;3;4.21;7.94;0.86;22;NA;NA;NA;23;1
19;FALSE;FALSE;as;0;0.46;0.44;0.61;46;NA;NA;NA;NA;NA
20;FALSE;FALSE;eas;2;2.96;5.44;0.12;94;NA;NA;204;34;0
21;FALSE;FALSE;ras;0;4.83;6.69;0.24;58;NA;90;NA;NA;NA
22;FALSE;FALSE;as;2;2.33;1.69;0.73;10;NA;NA;NA;40;0
23;FALSE;FALSE;acs;3;1.08;4.19;0.49;82;0.43;NA;NA;6;1
24;FALSE;FALSE;mmas;1;3.58;9.19;0.98;34;NA;NA;NA;29;0
25;FALSE;FALSE;eas;2;0.77;7.31;0.3;52;NA;NA;344;14;0
26;FALSE;FALSE;acs;0;3.27;2.31;0.8;100;0.74;NA;NA;NA;NA
27;FALSE;FALSE;as;1;4.52;4.81;0.05;28;NA;NA;NA;26;0
28;FALSE;FALSE;ras;3;2.02;9.81;0.55;76;NA;71;NA;49;1
29;FALSE;FALSE;acs;2;3.89;1.06;0.92;64;0.11;NA;NA;20;0
30;FALSE;FALSE;mmas;0;1.39;6.06;0.43;16;NA;NA;NA;NA;NA
31;FALSE;FALSE;eas;1;0.14;8.56;0.67;88;NA;NA;63;9;0
32;FALSE;FALSE;as;3;2.64;3.56;0.18;40;NA;NA;NA;32;1
33;FALSE;FALSE;ras;2;0.22;2.47;0.53;56;NA;16;NA;25;0
34;FALSE;FALSE;mmas;0;2.72;7.47;0.04;8;NA;NA;NA;NA;NA
35;FALSE;FALSE;eas;1;3.97;9.97;0.78;80;NA;NA;426;14;0
36;FALSE;FALSE;as;3;1.47;4.97;0.29;32;NA;NA;NA;37;1
37;FALSE;FALSE;acs;0;2.1;1.22;0.66;92;0.97;NA;NA;NA;NA
38;FALSE;FALSE;eas;2;4.6;6.22;0.16;44;NA;NA;707;8;0
39;FALSE;FALSE;ras;3;3.35;8.72;0.91;68;NA;79;NA;42;1
40;FALSE;FALSE;as;1;0.85;3.72;0.41;20;NA;NA;NA;19;0
41;FALSE;FALSE;mmas;2;3.66;0.6;0.84;14;NA;NA;NA;45;0
42;FALSE;FALSE;ras;0;1.16;5.6;0.35;62;NA;60;NA;NA;NA
43;FALSE;FALSE;acs;3;4.91;3.1;0.1;86;0.16;NA;NA;11;1
44;FALSE;FALSE;eas;1;2.41;8.1;0.6;38;NA;NA;473;34;0
45;FALSE;FALSE;mmas;3;0.54;9.35;0.72;26;NA;NA;NA;16;1
46;FALSE;FALSE;acs;1;3.04;4.35;0.22;74;0.54;NA;NA;39;0
47;FALSE;FALSE;as;0;4.29;1.85;0.97;50;NA;NA;NA;NA;NA
48;FALSE;FALSE;eas;2;1.79;6.85;0.47;98;NA;NA;567;28;0
49;TRUE;FALSE;eas;3;2.88;2.16;0.44;59;NA;NA;403;15;0
50;FALSE;FALSE;acs;1;0.38;7.16;0.94;11;0.44;NA;NA;38;1
51;FALSE;FALSE;mmas;0;1.63;9.66;0.19;83;NA;NA;NA;NA;NA
52;FALSE;FALSE;ras;2;4.13;4.66;0.69;35;NA;13;NA;50;1
53;FALSE;FALSE;ras;0;3.5;3.41;0.56;23;NA;75;NA;NA;NA
54;FALSE;FALSE;as;2;1;8.41;0.07;71;NA;NA;NA;32;1
55;FALSE;FALSE;mmas;1;4.75;0.91;0.32;95;NA;NA;NA;44;1
56;TRUE;FALSE;acs;3;2.25;5.91;0.81;47;0.82;NA;NA;21;0
57;FALSE;FALSE;acs;2;2.57;9.03;0.38;17;0.63;NA;NA;6;1
58;FALSE;FALSE;eas;0;0.07;4.03;0.87;65;NA;NA;637;NA;NA
59;FALSE;FALSE;ras;1;1.32;1.53;0.13;41;NA;32;NA;18;1
60;FALSE;FALSE;as;3;3.82;6.53;0.63;89;NA;NA;NA;41;0
61;FALSE;FALSE;as;1;3.19;5.28;0.75;53;NA;NA;NA;12;1
62;FALSE;FALSE;eas;3;0.69;0.28;0.26;5;NA;NA;543;35;0
63;FALSE;FALSE;acs;0;4.44;7.78;0.5;29;0;NA;NA;NA;NA
64;FALSE;FALSE;mmas;2;1.94;2.78;1;77;NA;NA;NA;24;1
65;FALSE;FALSE;as;2;1.67;5.52;0.56;22;NA;NA;NA;29;0
66;FALSE;FALSE;eas;0;4.17;0.52;0.06;70;NA;NA;502;NA;NA
67;FALSE;FALSE;mmas;1;2.92;3.02;0.8;46;NA;NA;NA;41;0
68;FALSE;FALSE;acs;3;0.42;8.02;0.31;94;0.72;NA;NA;18;1
69;FALSE;FALSE;eas;3;4.79;4.27;0.93;10;NA;NA;596;12;1
70;FALSE;FALSE;acs;1;2.29;9.27;0.43;58;0.09;NA;NA;35;0
71;FALSE;FALSE;ras;2;3.54;1.77;0.19;82;NA;53;NA;46;0
72;FALSE;FALSE;mmas;0;1.04;6.77;0.68;34;NA;NA;NA;NA;NA
