EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;210;534022852;2000-514.tsp;32405748
2;108;314652879;2000-304.tsp;32538468
3;276;925913034;2000-639.tsp;32378635
4;378;1049889211;2000-918.tsp;33052504
5;208;1899248422;2000-512.tsp;32460636
6;53;1556421980;2000-20.tsp;32711444
7;251;906232382;2000-614.tsp;32599299
8;107;1845821902;2000-303.tsp;32440203
9;20;327495091;2000-117.tsp;32280188
10;233;2130633448;2000-537.tsp;32726835
11;179;1411121129;2000-424.tsp;32581340
12;331;860590239;2000-812.tsp;32457443
13;255;1463899155;2000-618.tsp;32130139
14;361;675817450;2000-901.tsp;32234312
15;99;30288025;2000-26.tsp;32745778
16;133;489431588;2000-327.tsp;32602021
17;232;1938557955;2000-536.tsp;31964590
18;43;282658597;2000-138.tsp;32575608
19;110;1788722354;2000-306.tsp;32703838
20;303;1189222780;2000-725.tsp;32481238
