CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
21;TRUE;FALSE;129;1;0;NA;NA;1.03;1.99;0.28;21;21
25;TRUE;FALSE;166;4;0;NA;NA;1.18;1.21;0.9;25;25
33;TRUE;FALSE;101;5;0;NA;6;1.14;1.41;0.4;33;33
41;TRUE;FALSE;188;4;0;NA;NA;1.93;1.88;0.57;41;41
45;TRUE;FALSE;163;0;0;NA;NA;1.61;0.94;0.01;45;45
67;TRUE;FALSE;81;5;0;NA;7;2.3;2.25;0.84;67;67
70;TRUE;FALSE;124;1;0;NA;NA;1.64;1.95;0.47;70;70
88;TRUE;FALSE;132;4;2;NA;NA;2.1;1.76;0.9;88;88
119;TRUE;FALSE;199;4;0;NA;NA;0.97;2.24;0.5;119;119
133;TRUE;FALSE;101;4;0;NA;NA;2.26;1.85;0.72;133;133
142;TRUE;FALSE;82;4;0;NA;NA;2.1;2.13;0.78;142;142
148;TRUE;FALSE;196;4;0;NA;NA;1.22;2.42;0.48;148;148
160;TRUE;FALSE;42;1;0;NA;NA;1.75;2.31;0.78;160;160
166;TRUE;FALSE;107;4;0;NA;NA;1.3;1.88;0.68;166;166
187;TRUE;FALSE;99;4;0;NA;NA;2.04;2.08;0.76;187;187
218;TRUE;FALSE;76;4;0;NA;NA;1.91;2.3;0.76;218;218
225;TRUE;FALSE;65;4;0;NA;NA;2.11;2.31;0.74;225;225
252;TRUE;FALSE;76;4;0;NA;NA;1.93;2.26;0.68;252;252
259;TRUE;FALSE;81;4;1;NA;NA;1.86;2.25;0.77;259;259
264;TRUE;FALSE;57;4;0;NA;NA;1.83;2.35;0.74;264;264
277;TRUE;FALSE;69;4;0;NA;NA;1.8;2.27;0.71;277;277
299;TRUE;FALSE;89;4;0;NA;NA;2.06;2.14;0.7;299;299
311;TRUE;FALSE;68;4;0;NA;NA;1.89;2.34;0.69;311;311
314;TRUE;FALSE;73;4;0;NA;NA;1.94;2.39;0.65;314;314
325;TRUE;FALSE;70;4;0;NA;NA;1.96;2.24;0.72;325;325
364;TRUE;FALSE;104;4;0;NA;NA;2.08;2.16;0.69;364;364
366;TRUE;TRUE;71;4;0;NA;NA;1.86;2.42;0.65;366;366
370;TRUE;FALSE;66;4;0;NA;NA;1.78;2.45;0.6;370;370
373;TRUE;FALSE;65;4;0;NA;NA;1.88;2.46;0.67;373;373
