CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;eas;1;0.76;2.21;0.74;76;NA;NA;656;7;0
2;FALSE;FALSE;as;3;3.26;7.21;0.24;28;NA;NA;NA;30;1
3;FALSE;FALSE;mmas;0;2.01;4.71;0.49;52;NA;NA;NA;NA;NA
4;FALSE;FALSE;acs;2;4.51;9.71;0.98;100;0.74;NA;NA;18;0
5;FALSE;FALSE;ras;3;1.38;0.96;0.61;88;NA;36;NA;47;1
6;FALSE;FALSE;as;1;3.88;5.96;0.12;40;NA;NA;NA;24;0
7;FALSE;FALSE;eas;2;0.13;3.46;0.37;16;NA;NA;563;13;0
8;FALSE;FALSE;acs;0;2.63;8.46;0.86;64;0.12;NA;NA;NA;NA
9;FALSE;FALSE;ras;0;4.2;2.84;0.18;94;NA;4;NA;NA;NA
10;FALSE;FALSE;as;2;1.7;7.84;0.68;46;NA;NA;NA;44;0
11;FALSE;FALSE;acs;3;0.45;5.34;0.43;70;0.8;NA;NA;10;1
12;FALSE;FALSE;mmas;1;2.95;0.34;0.92;22;NA;NA;NA;33;0
13;FALSE;FALSE;ras;1;2.32;6.59;0.3;82;NA;92;NA;50;0
14;FALSE;FALSE;mmas;3;4.82;1.59;0.8;34;NA;NA;NA;27;1
15;FALSE;FALSE;as;0;1.07;9.09;0.55;10;NA;NA;NA;NA;NA
16;FALSE;FALSE;eas;2;3.57;4.09;0.06;58;NA;NA;422;38;0
17;FALSE;FALSE;eas;0;1.85;5.65;0.95;31;NA;NA;492;NA;NA
18;FALSE;FALSE;as;2;4.35;0.65;0.46;79;NA;NA;NA;34;1
19;FALSE;FALSE;ras;3;3.1;3.15;0.71;7;NA;39;NA;23;0
20;FALSE;FALSE;mmas;1;0.6;8.15;0.21;55;NA;NA;NA;46;1
21;FALSE;FALSE;acs;1;4.98;4.4;0.58;43;0.58;NA;NA;28;1
22;FALSE;FALSE;eas;3;2.48;9.4;0.09;91;NA;NA;586;5;0
23;FALSE;FALSE;as;0;3.73;1.9;0.33;67;NA;NA;NA;NA;NA
24;FALSE;FALSE;ras;2;1.23;6.9;0.83;19;NA;51;NA;40;1
